id,n_victimas,fecha,aaaa,mm,dd,hora,hh,lugar_del_hecho,tipo_de_calle,calle,altura,cruce,dirección normalizada,comuna,xy (caba),pos x,pos y,participantes,victima,acusado
2021-0030,1,2021-04-03,2021,4,3,18:30:00,18,finochietto enrique dr. 1623,calle,finochietto enrique dr.,1623.0,sd,finochietto enrique dr. 1623,4,point (107009.29363805 99410.79524854),-58.38685612,-34.63455776,peaton-pasajeros,peaton,pasajeros
2021-0031,1,2021-04-07,2021,4,7,10:29:00,10,9 de julio av. e independencia av.,avenida,9 de julio av.,sd,independencia av.,9 de julio av. e independencia av.,1,point (107535.23922218 101285.66809968),-58.38113667,-34.61765323,peaton-cargas,peaton,cargas
2021-0032,1,2021-04-10,2021,4,10,19:55:00,19,"au cantilo y guiraldes, int.",autopista,"cantilo, int.",sd,"guiraldes, int.","cantilo, int. y guiraldes, int.",13,point (102035.21425502 109304.90133530),-58.44112678,-34.54538956,peaton-moto,peaton,moto
2021-0033,1,2021-04-14,2021,4,14,17:50:00,17,au 25 de mayo altura bajada boedo av.,autopista,autopista 25 de mayo,sd,sd,autopista 25 de mayo y boedo av.,5,point (104341.13684161 100202.74307433),-58.41595919,-34.62743346,auto-objeto fijo,auto,objeto fijo
2021-0034,1,2021-04-19,2021,4,19,14:40:00,14,"alcorta, amancio av. y zavaleta",avenida,"alcorta, amancio av.",sd,zavaleta,"alcorta, amancio av. y zavaleta",4,point (105634.57202683 98201.36000813),-58.40184094,-34.64546845,moto-cargas,moto,cargas
2021-0035,1,2021-05-03,2021,5,3,09:20:00,9,"janer, ana maria y lafuente av.",avenida,"janer, ana maria",sd,lafuente av.,"janer, ana maria y lafuente av.",8,point (101547.14246919 96946.08308197),-58.44642231,-34.65679806,moto-cargas,moto,cargas
2021-0036,1,2021-05-09,2021,5,9,06:00:00,6,"paz, gral. av. y mosconi general av.",gral paz,"paz, gral. av.",sd,mosconi general av.,"paz, gral. av. y mosconi general av.",11,point (94486.28631712 103468.59928582),-58.52340614,-34.59798754,moto-objeto fijo,moto,objeto fijo
2021-0037,1,2021-05-11,2021,5,11,07:10:00,7,"monroe y balbin, ricardo, dr. av.",avenida,monroe,sd,"balbin, ricardo, dr. av.","monroe y balbin, ricardo, dr. av.",13,point (99707.12636872 107441.30935745),-58.46649069,-34.56219075,peaton-pasajeros,peaton,pasajeros
2021-0038,1,2021-05-14,2021,5,14,11:40:00,11,"justo, juan b. av. y santa fe av.",avenida,"justo, juan b. av.",sd,santa fe av.,"justo, juan b. av. y santa fe av.",14,point (103373.45116327 105668.33246254),-58.42653328,-34.57816791,moto-cargas,moto,cargas
2021-0039,1,2021-05-15,2021,5,15,12:09:00,12,"oliden y alberdi, juan bautista av.",avenida,oliden,sd,"alberdi, juan bautista av.","oliden y alberdi, juan bautista av.",9,point (96262.45081883 97363.01985851),-58.50407099,-34.65303372,bicicleta-auto,bicicleta,auto
2021-0040,1,2021-05-20,2021,5,20,05:50:00,5,"paz, gral. av. y del libertador av.",gral paz,"paz, gral. av.",sd,del libertador av.,"paz, gral. av. y del libertador av.",13,point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,moto-auto,moto,auto
2021-0041,1,2021-05-20,2021,5,20,08:30:00,8,del libertador av. y casares av.,avenida,del libertador av.,sd,casares av.,del libertador av. y casares av.,14,point (104902.75332390 105766.08933002),-58.40986646,-34.57728060,peaton-pasajeros,peaton,pasajeros
2021-0042,1,2021-05-21,2021,5,21,05:00:00,5,rivadavia av. 10900,avenida,rivadavia av.,10900.0,sd,rivadavia av. 10900,9,point (95040.52119933 98883.98738744),-58.51739138,-34.63931792,peaton-pasajeros,peaton,pasajeros
2021-0043,1,2021-05-22,2021,5,22,18:26:00,18,"alberdi, juan bautista av. y pilar",avenida,"alberdi, juan bautista av.",sd,pilar,"alberdi, juan bautista av. y pilar",9,point (95975.76718859 97082.39835843),-58.50719962,-34.65556223,peaton-auto,peaton,auto
2021-0044,1,2021-05-25,2021,5,25,02:00:00,2,"peron, eva av. y acosta, mariano",avenida,"peron, eva av.",sd,"acosta, mariano","peron, eva av. y acosta, mariano",9,point (99649.49576145 98143.82203448),-58.46712311,-34.64600222,moto-objeto fijo,moto,objeto fijo
2021-0045,1,2021-05-26,2021,5,26,17:24:00,17,au frondizi y suarez av.,autopista,autopista 1 sur presidente arturo frondizi,sd,sd,autopista 1 sur presidente arturo frondizi y suarez av.,4,point (107903.91828587 98767.43091425),-58.37709334,-34.64035082,multiple,moto,multiple
2021-0046,1,2021-05-31,2021,5,31,02:00:00,2,el cano av. y guzman av.,avenida,elcano av.,sd,guzman av.,elcano av. y guzman av.,15,point (100272.31336486 104833.49710745),-58.46033141,-34.58569883,auto-objeto fijo,auto,objeto fijo
2021-0047,1,2021-06-02,2021,6,2,16:00:00,16,"vedia, agustin de y rabanal, francisco, intendente av.",avenida,"vedia, agustin de",sd,"rabanal, francisco, intendente av.","vedia, agustin de y rabanal, francisco, intendente av.",4,point (103794.38334006 96997.15780313),-58.42190745,-34.65633192,moto-auto,moto,auto
2021-0048,1,2021-06-03,2021,6,3,09:58:00,9,capdevilla y congreso av.,avenida,capdevila,sd,congreso av.,capdevila y congreso av.,12,point (97525.48112402 106595.29222041),-58.49026573,-34.56981410,bicicleta-auto,bicicleta,auto
2021-0049,1,2021-06-03,2021,6,3,20:30:00,20,"fernandez de la cruz, f., gral. av. 4000",avenida,"fernandez de la cruz, f., gral. av.",4000.0,sd,"fernandez de la cruz, f., gral. av. 4000",8,point (100842.91519469 95589.55734164),-58.45410344,-34.66902702,auto-auto,auto,auto
2021-0050,1,2021-06-10,2021,6,10,13:30:00,13,del libertador av. 5958,avenida,del libertador av.,5958.0,sd,del libertador av. 5958,13,point (101448.53024105 107994.96785043),-58.44751621,-34.55719892,moto-pasajeros,moto,pasajeros
2021-0051,1,2021-06-15,2021,6,15,19:20:00,19,27 de febrero av. y erezcano av.,avenida,27 de febrero av.,sd,erezcano av.,27 de febrero av. y erezcano av.,4,point (103932.07299582 96584.44861459),-58.42040352,-34.66005171,peaton-cargas,peaton,cargas
2021-0052,1,2021-06-20,2021,6,20,05:40:00,5,"paz, gral. av. 14723",gral paz,"paz, gral. av.",14723.0,sd,"paz, gral. av. 14723",8,point (97067.24775528 94359.84584291),-58.49530249,-34.68010798,moto-objeto fijo,moto,objeto fijo
2021-0053,1,2021-06-20,2021,6,20,12:00:00,12,corrientes av. 5783,avenida,corrientes av.,5783.0,sd,corrientes av. 5783,15,point (101770.58108820 103826.64826158),-58.44399875,-34.59477360,peaton-bicicleta,peaton,bicicleta
2021-0054,1,2021-06-22,2021,6,22,14:44:00,14,tabare y erezcano,calle,tabare,sd,erezcano,tabare y erezcano,4,point (103272.79484249 97185.20508662),-58.42759813,-34.65463857,moto-cargas,moto,cargas
2021-0055,1,2021-06-29,2021,6,29,12:20:00,12,corrientes av. y pueyrredor av.,avenida,corrientes av.,sd,pueyrredon av.,corrientes av. y pueyrredon av.,3,point (105304.23090859 102739.35602688),-58.40547222,-34.60456293,moto-cargas,moto,cargas
2021-0056,1,2021-07-09,2021,7,9,23:25:00,23,"corrales y moreno, perito av.",avenida,corrales,sd,"moreno, perito av.","corrales y moreno, perito av.",4,point (103535.89012020 97690.49979847),-58.42473018,-34.65008280,bicicleta-auto,bicicleta,auto
2021-0057,1,2021-07-10,2021,7,10,23:30:00,23,"au illia km 3.2, altura cabinas de peaje",autopista,autopista arturo illia,sd,sd,autopista  arturo illia (cabina de peaje),2,point (106489.89755339 105947.16700228),-58.39257023,-34.57563957,auto-objeto fijo,auto,objeto fijo
2021-0058,1,2021-07-21,2021,7,21,00:40:00,0,av. gral. paz y vedia,gral paz,"paz, gral. av.",sd,vedia,"paz, gral. av. y vedia",12,point (97603.26759351 109241.33811464),-58.48941042,-34.54596153,peaton-auto,peaton,auto
2021-0059,1,2021-07-22,2021,7,22,01:20:00,1,"garay, juan de av. 2269",avenida,"garay, juan de av.",2269.0,sd,"garay, juan de av. 2269",3,point (106134.00626590 100157.65420238),-58.39640740,-34.62783085,auto-objeto fijo,auto,objeto fijo
2021-0060,1,2021-07-22,2021,7,22,12:30:00,12,"salguero, jeronimo y rivadavia av.",avenida,"salguero, jeronimo",sd,rivadavia av.,"salguero, jeronimo y rivadavia av.",5,point (103997.04813615 102012.34139150),-58.41971993,-34.61112240,peaton-pasajeros,peaton,pasajeros
2021-0061,1,2021-07-24,2021,7,24,09:15:00,9,"moreno, perito av. y alcorta, amancio av.",avenida,"moreno, perito av.",sd,"alcorta, amancio av.","moreno, perito av. y alcorta, amancio av.",4,point (105303.77662691 97684.64886839),-58.40544588,-34.65012801,peaton-cargas,peaton,cargas
2021-0062,1,2021-07-27,2021,7,27,07:16:00,7,la plata av. 2723,avenida,la plata av.,2723.0,sd,la plata av. 2723,4,point (103966.14093695 98092.26779856),-58.42003882,-34.64645957,auto-cargas,auto,cargas
2021-0063,1,2021-08-02,2021,8,2,04:40:00,4,"alberdi, juan bautista av. 2906",avenida,"alberdi, juan bautista av.",2906.0,sd,"alberdi, juan bautista av. 2906",7,point (99521.99764944 99532.20302798),-58.46851293,-34.63348678,auto-auto,auto,auto
2021-0064,1,2021-08-02,2021,8,2,20:00:00,20,"paz, gral. av. y tonelero",gral paz,"paz, gral. av.",sd,tonelero,"paz, gral. av. y tonelero",9,point (93948.70282497 97229.16264548),-58.52931141,-34.65422917,peaton-cargas,peaton,cargas
2021-0065,1,2021-08-06,2021,8,6,08:30:00,8,av. san juan y av. la plata,avenida,san juan av.,sd,la plata av.,san juan av. y la plata av.,6,point (103350.94520286 100251.53397151),-58.42675754,-34.62699730,peaton-pasajeros,peaton,pasajeros
2021-0066,1,2021-08-06,2021,8,6,20:00:00,20,av. lope de vega y av. gral. paz,avenida,lope de vega av.,sd,"paz, gral. av.","lope de vega av. y paz, gral. av.",11,point (93943.16495967 102026.75338495),-58.52933723,-34.61098186,peaton-pasajeros,peaton,pasajeros
2021-0067,1,2021-08-08,2021,8,8,09:29:00,9,"au frondizi km 2,9 (altura brasil)",autopista,autopista 1 sur presidente arturo frondizi,sd,sd,autopista 1 sur presidente arturo frondizi y brasil,1,point (107720.23994349 100176.85080944),-58.37910943,-34.62764718,moto-objeto fijo,moto,objeto fijo
2021-0068,1,2021-08-15,2021,8,15,06:10:00,6,"beiro, francisco av. 5071",avenida,"beiro, francisco av.",5071.0,sd,"beiro, francisco av. 5071",11,point (94651.77324467 101953.65862250),-58.52161176,-34.61164474,moto-objeto fijo,moto,objeto fijo
2021-0069,1,2021-08-20,2021,8,20,17:15:00,17,av. santa fe 3428,avenida,santa fe av.,3428.0,sd,santa fe av. 3428,14,point (104564.52859898 104690.63252497),-58.41354692,-34.58697680,peaton-auto,peaton,auto
2021-0070,1,2021-08-28,2021,8,28,08:30:00,8,"chilavert, martiniano, coronel y varela av.",avenida,"chilavert, martiniano, coronel",sd,varela av.,"chilavert, martiniano, coronel y varela av.",8,point (102171.86474787 97177.81588434),-58.43960781,-34.65470804,moto-cargas,moto,cargas
2021-0071,1,2021-08-31,2021,8,31,16:00:00,16,san luis 2730,calle,san luis,2730.0,sd,san luis 2730,3,point (105389.46943359 103241.39184079),-58.40454610,-34.60003693,peaton-moto,peaton,moto
2021-0072,1,2021-09-01,2021,9,1,19:10:00,19,callao av. y paraguay,avenida,callao av.,sd,paraguay,callao av. y paraguay,2,point (106445.10866138 103387.80115442),-58.39303911,-34.59871111,peaton-auto,peaton,auto
2021-0073,1,2021-09-18,2021,9,18,12:20:00,12,"del libertador av. y agote, luis dr.",avenida,del libertador av.,sd,"agote, luis dr.","del libertador av. y agote, luis dr.",2,point (106366.2976627 105013.87298990),-58.39391034,-34.58405348,bicicleta-auto,bicicleta,auto
2021-0074,1,2021-09-20,2021,9,20,15:00:00,15,"paz, gral. av. y balbin, ricardo, dr. av.",gral paz,"paz, gral. av.",sd,"balbin, ricardo, dr. av.","paz, gral. av. y balbin, ricardo, dr. av.",12,point (96563.66494817 108815.73881056),-58.50073810,-34.54979510,multiple,moto,multiple
2021-0075,1,2021-09-21,2021,9,21,14:30:00,14,salta y brasil,calle,salta,sd,brasil,salta y brasil,1,point (107380.60401316 100153.47427104),-58.38281301,-34.62786038,peaton-cargas,peaton,cargas
2021-0076,1,2021-10-16,2021,10,16,06:15:00,6,"moreno, perito av. 2152",avenida,"moreno, perito av.",2152.0,sd,"moreno, perito av. 2152",7,point (102153.60977503 97595.73281258),-58.43980799,-34.65094083,moto-objeto fijo,moto,objeto fijo
2021-0077,1,2021-10-18,2021,10,18,07:20:00,7,directorio av. 1169,avenida,directorio av.,1169.0,sd,directorio av. 1169,6,point (101767.56647933 99993.06655411),-58.44402387,-34.62933109,moto-cargas,moto,cargas
2021-0078,1,2021-10-23,2021,10,23,06:35:00,6,independencia av. y la plata av.,avenida,independencia av.,sd,la plata av.,independencia av. y la plata av.,6,point (103255.81315650 100797.78656418),-58.42779702,-34.62207347,moto-pasajeros,moto,pasajeros
2021-0079,1,2021-10-25,2021,10,25,03:30:00,3,tucuman 3112,calle,tucuman,3112.0,sd,tucuman 3112,3,point (104940.36054625 103137.08602294),-58.40944147,-34.60097942,peaton-auto,peaton,auto
2021-0080,1,2021-10-28,2021,10,28,16:16:00,16,arenales y 9 de julio av.,avenida,arenales,sd,9 de julio av.,arenales y 9 de julio av.,1,point (107387.05825032 103876.26437289),-58.38277479,-34.59430160,moto-auto,moto,auto
2021-0081,1,2021-11-02,2021,11,2,13:35:00,13,au frondizi subida brandsen,autopista,autopista 1 sur presidente arturo frondizi,sd,sd,autopista 1 sur presidente arturo frondizi y brandsen,4,point (107979.30419282 99027.13636949),-58.37627355,-34.63800916,moto-cargas,moto,cargas
2021-0082,1,2021-11-06,2021,11,6,04:39:00,4,au 25 de mayo km7 (altura pasco),autopista,autopista 25 de mayo,sd,sd,autopista 25 de mayo y pasco,3,point (106179.07517962 100523.29161457),-58.39591856,-34.62453459,moto-auto,moto,auto
2021-0083,1,2021-11-09,2021,11,9,00:35:00,0,cabildo av. y olazabal,avenida,cabildo av.,sd,olazabal,cabildo av. y olazabal,13,point (100459.06991201 107666.84775309),-58.45829717,-34.56015762,moto-auto,moto,auto
2021-0084,1,2021-11-11,2021,11,11,03:00:00,3,tapalque y bruix av.,avenida,tapalque,sd,bruix av.,tapalque y bruix av.,9,point (97421.40293646 98160.56984338),-58.49142611,-34.64584795,auto-objeto fijo,auto,objeto fijo
2021-0085,1,2021-11-20,2021,11,20,18:30:00,18,"paz, gral. av. y ezeiza",gral paz,"paz, gral. av.",sd,ezeiza,"paz, gral. av. y ezeiza",12,point (95465.98721454 105701.33171467),-58.51271409,-34.57786555,moto-objeto fijo,moto,objeto fijo
2021-0086,1,2021-11-25,2021,11,25,10:10:00,10,rivadavia av. y puan,avenida,rivadavia av.,sd,puan,rivadavia av. y puan,6,point (101343.57441195 100636.86479169),-58.44864864,-34.62352826,peaton-pasajeros,peaton,pasajeros
2021-0087,1,2021-11-27,2021,11,27,11:22:00,11,esmeralda 1359,calle,esmeralda,1359.0,sd,esmeralda 1359,1,point (107829.16426745 104166.84427133),-58.37795815,-34.59167894,peaton-bicicleta,peaton,bicicleta
2021-0088,1,2021-12-01,2021,12,1,15:40:00,15,av. moroe y 3 de febrero,calle,monroe,sd,3 de febrero,monroe y 3 de febrero,13,point (100732.60222975 108177.68150062),-58.45531707,-34.55555257,moto-auto,moto,auto
2021-0089,1,2021-12-02,2021,12,2,01:10:00,1,av. gaona 3655,avenida,gaona av.,3655.0,sd,gaona av. 3655,11,point (98804.41713890 100872.30706871),-58.47633683,-34.62140594,moto-auto,moto,auto
2021-0090,1,2021-12-10,2021,12,10,11:45:00,11,av. 9 de julio y lavalle,avenida,9 de julio av.,sd,lavalle,9 de julio av. y lavalle,1,point (107467.87595573 102960.02837514),-58.38188582,-34.60256036,peaton-pasajeros,peaton,pasajeros
2021-0091,1,2021-12-11,2021,12,11,23:00:00,23,baigorria y victor hugo,calle,baigorria,sd,"hugo, victor","baigorria y hugo, victor",10,point (94810.03686085 100710.80080255),-58.51989389,-34.62284918,moto-auto,moto,auto
2021-0092,1,2021-12-12,2021,12,12,06:20:00,6,av. rivadavia y av. pueyrredon,avenida,rivadavia av.,sd,pueyrredon av.,rivadavia av. y pueyrredon av.,3,point (105258.35368554 102122.93231400),-58.40596860,-34.61011987,peaton-auto,peaton,auto
2021-0093,1,2021-12-13,2021,12,13,17:10:00,17,av. riestra y mom,avenida,riestra av.,sd,mom,riestra av. y mom,7,point (102728.60090138 98186.24929177),-58.43353773,-34.64561636,moto-auto,moto,auto
2021-0094,1,2021-12-20,2021,12,20,01:10:00,1,au dellepiane y lacarra,autopista,"dellepiane, luis, tte. gral.",sd,lacarra av.,"dellepiane, luis, tte. gral. y lacarra av.",9,point (99624.29795829 97569.69801131),-58.46739825,-34.65117757,moto-auto,moto,auto
2021-0095,1,2021-12-30,2021,12,30,00:43:00,0,av. gaona y terrada,avenida,gaona av.,sd,terrada,gaona av. y terrada,11,point (99116.45492358 101045.23284826),-58.47293407,-34.61984745,moto-cargas,moto,cargas
2021-0096,1,2021-12-15,2021,12,15,10:30:00,10,av. eva peron 4071,avenida,"peron, eva av.",4071.0,sd,"peron, eva av. 4071",9,point (99324.54463985 97676.26932409),-58.47066794,-34.65021673,auto-cargas,auto,cargas
2021-0097,1,2021-11-18,2021,11,18,06:10:00,6,padre carlos mujica 709,calle,padre carlos mujica,709.0,sd,padre carlos mugica 709,1,point (107664.16647795 104708.63962087),-58.37976155,-34.58679619,bicicleta-auto,bicicleta,auto
