id,n_victimas,fecha,aaaa,mm,dd,hora,hh,lugar_del_hecho,tipo_de_calle,calle,altura,cruce,dirección normalizada,comuna,xy (caba),pos x,pos y,participantes,victima,acusado
2020-0031,1,2020-06-30,2020,6,30,08:00:00,8,"garzon, eugenio, gral. av. y larraya",avenida,"garzon, eugenio, gral. av.",sd,larraya,"garzon, eugenio, gral. av. y larraya",9,point (97236.89442427 96825.16279174),-58.49344309,-34.65788529,moto-cargas,moto,cargas
2020-0032,1,2020-07-10,2020,7,10,23:00:00,23,corrientes av. y serrano,avenida,corrientes av.,sd,serrano,corrientes av. y serrano,15,point (101899.62680853 103651.59621952),-58.44259166,-34.59635137,moto-auto,moto,auto
2020-0033,1,2020-07-19,2020,7,19,06:25:00,6,"paz, gral. av. y del libertador av.",gral paz,"paz, gral. av.",sd,del libertador av.,"paz, gral. av. y del libertador av.",13,point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,auto-objeto fijo,auto,objeto fijo
2020-0034,1,2020-08-02,2020,8,2,03:20:00,3,"mitre, bartolome y anchorena, tomas manuel de, dr.",calle,"mitre, bartolome",sd,"anchorena, tomas manuel de, dr.","mitre, bartolome y anchorena, tomas manuel de, dr.",3,point (104725.24275395 102222.75498861),-58.41178158,-34.60922259,peaton-auto,peaton,auto
2020-0035,1,2020-08-04,2020,8,4,05:30:00,5,"au 25 de mayo altura pumacahua y recuero, casimiro, tte. cnel.",autopista,autopista 25 de mayo,sd,sd,autopista 25 de mayo y pumacahua,7,point (101156.55025059 99210.16912341),-58.45068621,-34.63638927,moto-pasajeros,moto,pasajeros
2020-0036,1,2020-08-07,2020,8,7,18:40:00,18,"scalabrini ortiz, raul av. y paraguay",avenida,"scalabrini ortiz, raul av.",sd,paraguay,"scalabrini ortiz, raul av. y paraguay",14,point (103956.90165674 104600.93056775),-58.42016954,-34.58778790,peaton-moto,peaton,moto
2020-0037,1,2020-08-29,2020,8,29,04:30:00,4,"fernandez de la cruz, f., gral. av. y varela av.",avenida,"fernandez de la cruz, f., gral. av.",sd,varela av.,"fernandez de la cruz, f., gral. av. y varela av.",8,point (102273.01728657 97084.66236498),-58.43850413,-34.65554754,peaton-auto,peaton,auto
2020-0038,2,2020-08-30,2020,8,30,04:00:00,4,"las heras general av. y diaz, cnel. av.",avenida,las heras general av.,sd,"diaz, cnel. av.","las heras general av. y diaz, cnel. av.",14,point (105241.05562982 105080.52102657),-58.40617526,-34.58345898,auto-auto,auto,auto
2020-0039,1,2020-09-01,2020,9,1,19:17:42,19,murguiondo 2700,calle,murguiondo,sd,sd,murguiondo,9,point (. .),.,.,peaton-cargas,peaton,cargas
2020-0040,1,2020-09-12,2020,9,12,03:30:00,3,"castillo, ramon s., pres. av. y calle 12",avenida,"castillo, ramon s., pres. av.",sd,calle 12 (no oficial),"castillo, ramon s., pres. av. y calle 12 (no oficial)",2,point (107160.34141948 105678.38284277),-58.38526125,-34.57805810,auto-objeto fijo,auto,objeto fijo
2020-0041,1,2020-09-28,2020,9,28,01:45:00,1,"curapaligue y peron, eva av.",avenida,curapaligue,sd,"peron, eva av.","curapaligue y peron, eva av.",7,point (101448.28844783 99373.44893645),-58.44750470,-34.63491705,moto-pasajeros,moto,pasajeros
2020-0042,1,2020-09-29,2020,9,29,17:10:00,17,"diaz, ana y soldado de la frontera av.",avenida,"diaz, ana",sd,soldado de la frontera av.,"diaz, ana y soldado de la frontera av.",8,point (99619.02595373 94158.58480023),-58.46745752,-34.68192648,peaton-pasajeros,peaton,pasajeros
2020-0043,1,2020-09-30,2020,9,30,17:20:00,17,"alem, leandro n. av. y paraguay",avenida,"alem, leandro n. av.",sd,paraguay,"alem, leandro n. av. y paraguay",1,point (108372.80843298 103556.18483992),-58.37202621,-34.59717942,peaton-pasajeros,peaton,pasajeros
2020-0044,1,2020-10-05,2020,10,5,00:20:00,0,la plata av. e independencia,avenida,la plata av.,sd,independencia av.,la plata av. e independencia av.,6,point (103255.81315650 100797.78656418),-58.42779702,-34.62207347,auto-auto,auto,auto
2020-0045,1,2020-10-19,2020,10,19,03:00:00,3,"paz, gral. av. y 27 de febrero av.",gral paz,"paz, gral. av.",sd,27 de febrero av.,"paz, gral. av. y 27 de febrero av.",8,point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,auto-cargas,auto,cargas
2020-0046,1,2020-10-27,2020,10,27,21:00:00,21,"nazca av. y carranza, adolfo p.",avenida,nazca av.,sd,"carranza, adolfo p.","nazca av. y carranza, adolfo p.",11,point (98064.49909649 102385.10228515),-58.48440160,-34.60776782,moto-moto,moto,moto
2020-0047,1,2020-10-27,2020,10,27,14:00:00,14,autopista campora altura lacarra av.,autopista,autopista presidente hector j. campora,sd,lacarra av.,autopista presidente hã‰ctor j. cãmpora y lacarra av.,9,point (99689.80114953 97506.41939342),-58.46668375,-34.65174801,peaton-cargas,peaton,cargas
2020-0048,1,2020-10-29,2020,10,29,20:20:00,20,dorrego av. 614,avenida,dorrego av.,614.0,sd,dorrego av. 614,15,point (101257.88680240 103998.57805569),-58.44958780,-34.59322448,moto-objeto fijo,moto,objeto fijo
2020-0049,1,2020-10-30,2020,10,30,20:00:00,20,"del libertador av. y ramos mejia, jose maria, dr. av.",avenida,del libertador av.,sd,"ramos mejia, jose maria, dr. av.","del libertador av. y ramos mejia, jose maria, dr. av.",1,point (108069.68986814 104046.20018024),-58.37533517,-34.59276462,peaton-auto,peaton,auto
2020-0050,1,2020-11-01,2020,11,1,22:00:00,22,santa fe av. y godoy cruz,avenida,santa fe av.,sd,godoy cruz,santa fe av. y godoy cruz,14,point (103490.75904616 105613.31878847),-58.42525456,-34.57866344,peaton-moto,peaton,moto
2020-0051,1,2020-11-05,2020,11,5,00:40:00,0,avellaneda av. y mercedes,avenida,avellaneda av.,sd,mercedes,avellaneda av. y mercedes,10,point (98015.81258802 99939.73589695),-58.48493828,-34.62981124,moto-auto,moto,auto
2020-0052,1,2020-11-07,2020,11,7,06:50:00,6,tucuman y pueyrredon av.,avenida,tucuman,sd,pueyrredon av.,tucuman y pueyrredon av.,3,point (105365.60153004 103041.51356366),-58.40480504,-34.60183884,bicicleta-cargas,bicicleta,cargas
2020-0053,1,2020-11-09,2020,11,9,03:30:00,3,"alcorta, amancio av. y einstein, alberto",avenida,"alcorta, amancio av.",sd,"einstein, alberto","alcorta, amancio av. y einstein, alberto",4,point (104770.59856807 97235.72066953),-58.41125934,-34.65417740,auto-auto,auto,auto
2020-0054,1,2020-11-19,2020,11,19,09:00:00,9,inclan y alberti,calle,inclan,sd,alberti,inclan y alberti,4,point (105844.27941538 99942.63399522),-58.39956546,-34.62977080,bicicleta-auto,bicicleta,auto
2020-0055,1,2020-11-19,2020,11,19,12:30:00,12,olazabal av. 5437,avenida,olazabal av.,5437.0,sd,olazabal av. 5437,12,point (97544.91851020 105610.70316243),-58.49005682,-34.57868970,peaton-cargas,peaton,cargas
